year,player_key,first_name,last_name,full_name,position,height,weight,stars,rating,national_rank,position_rank,state_rank,hometown_city,hometown_state,committed_institution_key,committed_team_key,committed_school,committed_school_abbr,committed_school_full,signed_institution_key,signed_team_key,signed_school,signed_school_abbr,signed_school_full,current_institution_key,current_team_key,current_school,current_school_abbr,current_school_full,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,has_scouting_report,scouting_report,source
2013,19997,Hudson,Price,Hudson Price,SF,6-7,220,3.0,79.30555555555556,387.0,71.0,27.0,Orlando,FL,,,,,,,,,,,24318,386.0,Charlotte,CHAR,Charlotte 49ers,/player/Hudson-Price-19997,https://247sports.com/player/hudson-price-19997/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2013,33298,Isaac,Thornton,Isaac Thornton,SG,6-3,190,2.0,70.0,472.0,102.0,34.0,San Antonio,TX,24124.0,213.0,San Jose State,SJSU,San Jose State Spartans,24124.0,213.0,San Jose State,SJSU,San Jose State Spartans,24124,213.0,San Jose State,SJSU,San Jose State Spartans,/player/Isaac-Thornton-33298,https://247sports.com/player/isaac-thornton-33298/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2013,32388,Jimmy,Barton,Jimmy Barton,PG,5-9,160,2.0,70.0,472.0,112.0,6.0,St. Louis,MO,24937.0,653.0,Houston Christian,HCU,Houston Christian Huskies,24937.0,653.0,Houston Christian,HCU,Houston Christian Huskies,24024,36.0,Missouri,MIZZ,Missouri Tigers,/player/Jimmy-Barton-32388,https://247sports.com/player/jimmy-barton-32388/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2013,11840,Chris,Walker,Chris Walker,PF,6-10,220,5.0,99.62081731201688,7.0,2.0,1.0,Bonifay,FL,24099.0,171.0,Florida,UF,Florida Gators,24099.0,171.0,Florida,UF,Florida Gators,24811,719.0,Houston,HOU,Houston Rockets,/player/Chris-Walker-11840,https://247sports.com/player/chris-walker-11840/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2013,31857,Luke,Kornet,Luke Kornet,PF,7-1,250,2.0,78.83333333333334,390.0,93.0,29.0,Argyle,TX,24107.0,187.0,Vanderbilt,VAN,Vanderbilt Commodores,,,,,,24799,696.0,Boston,BOS,Boston Celtics,/player/Luke-Kornet-31857,https://247sports.com/player/luke-kornet-31857/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2013,33252,Tavian,Pomlee,Tavian Pomlee,SF,6-5,201,2.0,70.0,472.0,6.0,4.0,Council Bluffs,IA,24156.0,640.0,South Dakota,SDAK,South Dakota Coyotes,24156.0,640.0,South Dakota,SDAK,South Dakota Coyotes,23629,,Iowa Western C.C.,,Iowa Western C.C.,/player/Tavian-Pomlee-33252,https://247sports.com/player/tavian-pomlee-33252/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2013,16812,Drew,Davis,Drew Davis,PG,6-0,180,,,,,,McDonough,GA,24036.0,60.0,South Florida,USF,South Florida Bulls,,,,,,24693,,Eagle's Landing,,Eagle's Landing,/player/Drew-Davis-16812,https://247sports.com/player/drew-davis-16812/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2013,14436,Logan,Adams,Logan Adams,SF,6-5,185,2.0,79.0,389.0,72.0,20.0,Snellville,GA,24333.0,518.0,UNC Wilmington,UNCW,UNC Wilmington Seahawks,,,,,,9682,,South Gwinnett,,South Gwinnett,/player/Logan-Adams-14436,https://247sports.com/player/logan-adams-14436/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2013,13908,Nolan,Berry,Nolan Berry,PF,6-8,200,4.0,90.429718875502,141.0,33.0,2.0,St. Louis,MO,24214.0,483.0,Butler,BUT,Butler Bulldogs,,,,,,3081,,De Smet Jesuit,,De Smet Jesuit,/player/Nolan-Berry-13908,https://247sports.com/player/nolan-berry-13908/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2013,1284,Aaron,"Harrison, Jr.","Aaron Harrison, Jr.",SG,6-5,200,3.0,85.55555555555554,240.0,55.0,23.0,Austin,TX,24199.0,586.0,Eastern Illinois,EILL,Eastern Illinois Panthers,24199.0,586.0,Eastern Illinois,EILL,Eastern Illinois Panthers,24199,586.0,Eastern Illinois,EILL,Eastern Illinois Panthers,"/player/Aaron-Harrison, Jr.-1284",https://247sports.com/player/aaron-harrison-jr-1284/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
