year,player_key,first_name,last_name,full_name,position,height,weight,stars,rating,national_rank,position_rank,state_rank,hometown_city,hometown_state,committed_institution_key,committed_team_key,committed_school,committed_school_abbr,committed_school_full,signed_institution_key,signed_team_key,signed_school,signed_school_abbr,signed_school_full,current_institution_key,current_team_key,current_school,current_school_abbr,current_school_full,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,has_scouting_report,scouting_report,source
2010,61462,Devin,Oliver,Devin Oliver,SF,6-6,195,3.0,88.55555555555556,181.0,40.0,6.0,Kalamazoo,MI,24217.0,387.0,Dayton,DAY,Dayton Flyers,24217.0,387.0,Dayton,DAY,Dayton Flyers,24217,387.0,Dayton,DAY,Dayton Flyers,/player/Devin-Oliver-61462,https://247sports.com/player/devin-oliver-61462/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2010,61470,Brandon,Spearman,Brandon Spearman,SG,6-3,185,4.0,91.70816599732262,133.0,33.0,8.0,Chicago,IL,24217.0,387.0,Dayton,DAY,Dayton Flyers,24217.0,387.0,Dayton,DAY,Dayton Flyers,24217,387.0,Dayton,DAY,Dayton Flyers,/player/Brandon-Spearman-61470,https://247sports.com/player/brandon-spearman-61470/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2010,59364,Andre,Winston,Andre Winston,PG,6-0,160,3.0,81.25925925925925,415.0,78.0,6.0,Lakewood,WA,24095.0,163.0,Washington State,WSU,Washington State Cougars,24095.0,163.0,Washington State,WSU,Washington State Cougars,24132,423.0,Portland State,POST,Portland State Vikings,/player/Andre-Winston-59364,https://247sports.com/player/andre-winston-59364/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2010,16786,Caleb,Walker,Caleb Walker,SG,6-4,205,2.0,76.66666666666667,483.0,9.0,2.0,El Dorado,KS,24025.0,38.0,Nebraska,NEB,Nebraska Cornhuskers,24025.0,38.0,Nebraska,NEB,Nebraska Cornhuskers,24025,38.0,Nebraska,NEB,Nebraska Cornhuskers,/player/Caleb-Walker-16786,https://247sports.com/player/caleb-walker-16786/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2010,64422,Roscoe,Smith,Roscoe Smith,SF,6-7,185,5.0,98.10640826879694,34.0,7.0,4.0,Mouth Of Wilson,VA,,,,,,,,,,,5513,,Oak Hill Academy,,Oak Hill Academy,/player/Roscoe-Smith-64422,https://247sports.com/player/roscoe-smith-64422/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2010,10224,Okaro,White,Okaro White,SF,6-8,195,,,,,,Clearwater,FL,,,,,,,,,,,9362,,Clearwater,,Clearwater,/player/Okaro-White-10224,https://247sports.com/player/okaro-white-10224/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2010,59224,Tobi,Oyedeji,Tobi Oyedeji,PF,6-8,215,4.0,93.66678836558356,100.0,22.0,8.0,Bellaire,TX,24029.0,46.0,Texas A&M,TAMU,Texas A&M Aggies,24029.0,46.0,Texas A&M,TAMU,Texas A&M Aggies,24029,46.0,Texas A&M,TAMU,Texas A&M Aggies,/player/Tobi-Oyedeji-59224,https://247sports.com/player/tobi-oyedeji-59224/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2010,59466,Davante,Gardner,Davante Gardner,PF,6-7,300,,,,,,Suffolk,VA,,,,,,,,,,,22283,,King`s Fork,,King`s Fork,/player/Davante-Gardner-59466,https://247sports.com/player/davante-gardner-59466/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2010,61242,Dion,Prewster,Dion Prewster,PF,6-5,205,2.0,76.66666666666667,483.0,119.0,40.0,San Jacinto,CA,24239.0,614.0,Stephen F. Austin,SFA,Stephen F. Austin Lumberjacks,24239.0,614.0,Stephen F. Austin,SFA,Stephen F. Austin Lumberjacks,24239,614.0,Stephen F. Austin,SFA,Stephen F. Austin Lumberjacks,/player/Dion-Prewster-61242,https://247sports.com/player/dion-prewster-61242/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2010,61334,Dexter,Ellington,Dexter Ellington,SG,6-0,180,2.0,76.66666666666667,483.0,9.0,10.0,Marianna,FL,24249.0,624.0,Texas Southern,TXSO,Texas Southern Tigers,24249.0,624.0,Texas Southern,TXSO,Texas Southern Tigers,24249,624.0,Texas Southern,TXSO,Texas Southern Tigers,/player/Dexter-Ellington-61334,https://247sports.com/player/dexter-ellington-61334/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
