year,player_key,first_name,last_name,full_name,position,height,weight,stars,rating,national_rank,position_rank,state_rank,hometown_city,hometown_state,committed_institution_key,committed_team_key,committed_school,committed_school_abbr,committed_school_full,signed_institution_key,signed_team_key,signed_school,signed_school_abbr,signed_school_full,current_institution_key,current_team_key,current_school,current_school_abbr,current_school_full,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,has_scouting_report,scouting_report,source
2012,25930,Austin A.,Pope,Austin A. Pope,PG,6-5,180,3.0,87.0,246.0,6.0,2.0,Burbank,CA,24159.0,560.0,North Carolina Central,NCC,North Carolina Central Eagles,24159.0,560.0,North Carolina Central,NCC,North Carolina Central Eagles,24781,1527.0,Chaminade,,Chaminade Silverswords,/player/Austin A.-Pope-25930,https://247sports.com/player/austin-a-pope-25930/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2012,15440,Ryan,Rosburg,Ryan Rosburg,PF,6-10,260,3.0,87.50111557340472,207.0,53.0,2.0,Chesterfield,MO,24024.0,36.0,Missouri,MIZZ,Missouri Tigers,,,,,,24024,36.0,Missouri,MIZZ,Missouri Tigers,/player/Ryan-Rosburg-15440,https://247sports.com/player/ryan-rosburg-15440/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2012,23050,Valentine,Izundu,Valentine Izundu,C,6-10,240,3.0,81.11111111111111,339.0,34.0,28.0,Rosenberg,TX,24051.0,90.0,Houston,HOU,Houston Cougars,,,,,,24095,163.0,Washington State,WSU,Washington State Cougars,/player/Valentine-Izundu-23050,https://247sports.com/player/valentine-izundu-23050/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2012,17005,Corban,Collins,Corban Collins,PG,6-3,190,3.0,85.55555555555554,222.0,36.0,14.0,Woodstock,VA,24102.0,177.0,LSU,LSU,LSU Tigers,24102.0,177.0,LSU,LSU,LSU Tigers,24096,165.0,Alabama,BAMA,Alabama Crimson Tide,/player/Corban-Collins-17005,https://247sports.com/player/corban-collins-17005/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2012,12738,Marcus,Holt,Marcus Holt,PF,6-9,215,4.0,95.46184738955823,87.0,24.0,2.0,Aurora,CO,,,,,,,,,,,8439,,Rangeview,,Rangeview,/player/Marcus-Holt-12738,https://247sports.com/player/marcus-holt-12738/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2012,11862,Justin,Tuoyo,Justin Tuoyo,PF,6-9,210,3.0,88.1726907630522,188.0,49.0,19.0,Hampton,GA,24334.0,482.0,VCU,VCU,VCU Rams,,,,,,9550,,Lovejoy,,Lovejoy,/player/Justin-Tuoyo-11862,https://247sports.com/player/justin-tuoyo-11862/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2012,12736,Brandon,Bolden,Brandon Bolden,C,6-9,205,4.0,89.29718875502007,168.0,17.0,8.0,Charlottesville,VA,24210.0,411.0,Georgetown,GU,Georgetown Hoyas,,,,,,5497,,Miller School,,Miller School,/player/Brandon-Bolden-12736,https://247sports.com/player/brandon-bolden-12736/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2012,7520,Teddy,Okereafor,Teddy Okereafor,PG,6-3,180,3.0,83.33333333333333,311.0,49.0,21.0,Church View,VA,24334.0,482.0,VCU,VCU,VCU Rams,24334.0,482.0,VCU,VCU,VCU Rams,5444,,Christchurch School,,Christchurch School,/player/Teddy-Okereafor-7520,https://247sports.com/player/teddy-okereafor-7520/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2012,13776,Codi,Miller-McIntyre,Codi Miller-McIntyre,PG,6-2,190,4.0,95.86145636564704,83.0,15.0,6.0,Monroe,NC,24018.0,24.0,Wake Forest,WAKE,Wake Forest Demon Deacons,,,,,,3955,,First Assembly Christian School,,First Assembly Christian School,/player/Codi-Miller-McIntyre-13776,https://247sports.com/player/codi-miller-mcintyre-13776/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2012,23103,Maika,Ostling,Maika Ostling,C,6-9,225,3.0,81.11111111111111,339.0,34.0,2.0,Dayton,OR,24091.0,155.0,Oregon State,ORST,Oregon State Beavers,,,,,,18934,,Dayton,,Dayton,/player/Maika-Ostling-23103,https://247sports.com/player/maika-ostling-23103/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
