year,player_key,first_name,last_name,full_name,position,height,weight,stars,rating,national_rank,position_rank,state_rank,hometown_city,hometown_state,committed_institution_key,committed_team_key,committed_school,committed_school_abbr,committed_school_full,signed_institution_key,signed_team_key,signed_school,signed_school_abbr,signed_school_full,current_institution_key,current_team_key,current_school,current_school_abbr,current_school_full,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,has_scouting_report,scouting_report,source
2021,46084460,Demari,Williams,Demari Williams,SF,6-6,210,4.0,89.12315930388219,201.0,41.0,9.0,Glendale,AZ,24088.0,149.0,Arizona State,AZST,Arizona State Sun Devils,24088.0,149.0,Arizona State,AZST,Arizona State Sun Devils,24937,653.0,Houston Christian,HCU,Houston Christian Huskies,/player/Demari-Williams-46084460,https://247sports.com/player/demari-williams-46084460/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2021,46167315,Isaiah,Shaw,Isaiah Shaw,SG,6-8,200,,,,,,Phoenix,AZ,,,,,,,,,,,24130,421.0,Northern Arizona,NOAZ,Northern Arizona Lumberjacks,/player/Isaiah-Shaw-46167315,https://247sports.com/player/isaiah-shaw-46167315/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2021,46086980,Kyle,Cuffe Jr.,Kyle Cuffe Jr.,SG,6-2,190,3.0,85.0,502.0,45.0,17.0,Blairstown,NJ,24022.0,32.0,Kansas,KAN,Kansas Jayhawks,24022.0,32.0,Kansas,KAN,Kansas Jayhawks,24365,406.0,Mercer,Mercer,Mercer Bears,/player/Kyle-Cuffe Jr.-46086980,https://247sports.com/player/kyle-cuffe-jr-46086980/,200,api_profile_url,True,A tad undersized as a scoring or shooting guard but is an extremely explosive athlete. Makes myriad plays defensively and is a major threat finishing at the rim in transition. Excels in a fast open game much more than in a slower constricted game. Loves to get the the rim as a slasher. Finishes with either hand against contact. Needs to develop his pull up game. Does have a quick release on the catch and shoot from deep and shows some potential as a shooter. A playmaker primarily for himself. Has room to improve as a distributor. Is a strong rebounder for his position. Can be a terror on the defensive end with his explosive athleticism.,247sports_api_recruits_plus_profile_jsonld
2021,46077115,Arturo,Dean,Arturo Dean,PG,5-11,170,3.0,87.0,303.0,54.0,5.0,Miami,FL,,,,,,,,,,,24027,42.0,Oklahoma State,OKST,Oklahoma State Cowboys,/player/Arturo-Dean-46077115,https://247sports.com/player/arturo-dean-46077115/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2021,46166763,Brent,Bland,Brent Bland,SG,6-3,205,3.0,87.0,303.0,58.0,5.0,Huntington Station,NY,24387.0,548.0,Saint Peter's,Saint Peter's,Saint Peter's Peacocks,24387.0,548.0,Saint Peter's,Saint Peter's,Saint Peter's Peacocks,24387,548.0,Saint Peter's,Saint Peter's,Saint Peter's Peacocks,/player/Brent-Bland-46166763,https://247sports.com/player/brent-bland-46166763/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2021,46056618,Anthony,Sayles,Anthony Sayles,PG,6-2,170,,,,,,Niles,IL,,,,,,,,,,,26378,,Notre Dame College Prep,,Notre Dame College Prep,/player/Anthony-Sayles-46056618,https://247sports.com/player/anthony-sayles-46056618/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2021,46055258,Thomas,Notarainni,Thomas Notarainni,SG,6-3,195,,,,,,San Diego,CA,,,,,,,,,,,23767,,Cathedral Catholic,,Cathedral Catholic,/player/Thomas-Notarainni-46055258,https://247sports.com/player/thomas-notarainni-46055258/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2021,46052125,Colson,Montgomery,Colson Montgomery,PG,6-2,180,,,,,,Huntingburg,IN,,,,,,,,,,,11009,,Southridge,,Southridge,/player/Colson-Montgomery-46052125,https://247sports.com/player/colson-montgomery-46052125/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2021,46050357,Reid,Patterson,Reid Patterson,SG,6-1,165,,,,,,Lakeville,MN,25616.0,1374.0,Concordia-St. Paul,,Concordia-St. Paul Golden Bears,,,,,,13880,,Lakeville South,,Lakeville South,/player/Reid-Patterson-46050357,https://247sports.com/player/reid-patterson-46050357/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2021,46049431,Ashton,Malone,Ashton Malone,PG,5-11,160,,,,,,Norcross,GA,,,,,,,,,,,9681,,Norcross,,Norcross,/player/Ashton-Malone-46049431,https://247sports.com/player/ashton-malone-46049431/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
