year,player_key,first_name,last_name,full_name,position,height,weight,stars,rating,national_rank,position_rank,state_rank,hometown_city,hometown_state,committed_institution_key,committed_team_key,committed_school,committed_school_abbr,committed_school_full,signed_institution_key,signed_team_key,signed_school,signed_school_abbr,signed_school_full,current_institution_key,current_team_key,current_school,current_school_abbr,current_school_full,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,has_scouting_report,scouting_report,source
2016,49296,Link,Kabadyundi,Link Kabadyundi,C,7-1,274,3.0,81.33333333333333,472.0,46.0,7.0,Montreal,QC,24390.0,649.0,UT-Arlington,Texas-Arlington,UT-Arlington Mavericks,24390.0,649.0,UT-Arlington,Texas-Arlington,UT-Arlington Mavericks,24390,649.0,UT-Arlington,Texas-Arlington,UT-Arlington Mavericks,/player/Link-Kabadyundi-49296,https://247sports.com/player/link-kabadyundi-49296/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2016,82651,Darnell,Rogers,Darnell Rogers,PG,5-3,140,3.0,82.83333333333333,426.0,90.0,7.0,Snellville,GA,24327.0,384.0,UMBC,UMBC,UMBC Retrievers,24327.0,384.0,UMBC,UMBC,UMBC Retrievers,24327,384.0,UMBC,UMBC,UMBC Retrievers,/player/Darnell-Rogers-82651,https://247sports.com/player/darnell-rogers-82651/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2016,46056816,James,Streeter,James Streeter,C,6-10,270,,,,,,Minneapolis,MN,,,,,,,,,,,24095,163.0,Washington State,WSU,Washington State Cougars,/player/James-Streeter-46056816,https://247sports.com/player/james-streeter-46056816/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2016,46076824,Carter,Skaggs,Carter Skaggs,SG,6-5,215,2.0,70.0,478.0,90.0,19.0,Logansport,IN,24095.0,163.0,Washington State,WSU,Washington State Cougars,24095.0,163.0,Washington State,WSU,Washington State Cougars,24333,518.0,UNC Wilmington,UNCW,UNC Wilmington Seahawks,/player/Carter-Skaggs-46076824,https://247sports.com/player/carter-skaggs-46076824/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2016,46043281,Keith,Langston,Keith Langston,SF,6-5,190,,,,,,Hayward,CA,24095.0,163.0,Washington State,WSU,Washington State Cougars,,,,,,24095,163.0,Washington State,WSU,Washington State Cougars,/player/Keith-Langston-46043281,https://247sports.com/player/keith-langston-46043281/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2016,84621,John,Norvel,John Norvel,PG,6-0,165,,,,,,Slidell,LA,,,,,,,,,,,12241,,Salmen,,Salmen,/player/John-Norvel-84621,https://247sports.com/player/john-norvel-84621/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2016,84773,Richard,Boggan,Richard Boggan,CG,6-0,180,,,,,,Georgiana,AL,,,,,,,,,,,5907,,Georgiana,,Georgiana,/player/Richard-Boggan-84773,https://247sports.com/player/richard-boggan-84773/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2016,85002,Timmy,Perry,Timmy Perry,C,6-9,-,,,,,,Cherry Hill,NJ,,,,,,,,,,,15507,,Cherry Hill East,,Cherry Hill East,/player/Timmy-Perry-85002,https://247sports.com/player/timmy-perry-85002/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2016,85011,John,Nwokoro,John Nwokoro,PG,6-0,180,,,,,,Upper Marlboro,MD,,,,,,,,,,,12569,,Largo,,Largo,/player/John-Nwokoro-85011,https://247sports.com/player/john-nwokoro-85011/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2016,85037,Shandon,Goldman,Shandon Goldman,SF,6-9,190,,,,,,Delafield,WI,,,,,,,,,,,23850,,St. John's Northwestern Academies,,St. John's Northwestern Academies,/player/Shandon-Goldman-85037,https://247sports.com/player/shandon-goldman-85037/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
