year,player_key,first_name,last_name,full_name,position,height,weight,stars,rating,national_rank,position_rank,state_rank,hometown_city,hometown_state,committed_institution_key,committed_team_key,committed_school,committed_school_abbr,committed_school_full,signed_institution_key,signed_team_key,signed_school,signed_school_abbr,signed_school_full,current_institution_key,current_team_key,current_school,current_school_abbr,current_school_full,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,has_scouting_report,scouting_report,source
2019,46165505,Tyren,Montgomery,Tyren Montgomery,SG,5-11.5,204,,,,,,The Woodlands,TX,,,,,,,,,,,24405,,John Carroll,John Carroll,John Carroll Blue Streaks,/player/Tyren-Montgomery-46165505,https://247sports.com/player/tyren-montgomery-46165505/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2019,46140679,Steele,Venters,Steele Venters,SF,6-7,195,3.0,86.0,399.0,84.0,12.0,Ellensburg,WA,24126.0,417.0,Eastern Washington,EWU,Eastern Washington Eagles,,,,,,24317,479.0,Gonzaga,Gonzaga,Gonzaga Bulldogs,/player/Steele-Venters-46140679,https://247sports.com/player/steele-venters-46140679/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2019,46057792,Liam,McChesney,Liam McChesney,PF,6-10,195,4.0,91.20481927710843,178.0,34.0,1.0,Canada,CANA,24125.0,435.0,Utah State,UTST,Utah State Aggies,24125.0,435.0,Utah State,UTST,Utah State Aggies,24343,549.0,Creighton,Creighton,Creighton Bluejays,/player/Liam-McChesney-46057792,https://247sports.com/player/liam-mcchesney-46057792/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2019,46140459,Rienk,Mast,Rienk Mast,PF,6-10,248,,,,,,Netherlands,NETH,24342.0,555.0,Bradley,Bradley,Bradley Braves,24342.0,555.0,Bradley,Bradley,Bradley Braves,24025,38.0,Nebraska,NEB,Nebraska Cornhuskers,/player/Rienk-Mast-46140459,https://247sports.com/player/rienk-mast-46140459/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2019,46059327,Brice,Williams,Brice Williams,PF,6-7,213,,,,,,Huntersville,NC,24318.0,386.0,Charlotte,CHAR,Charlotte 49ers,24318.0,386.0,Charlotte,CHAR,Charlotte 49ers,24025,38.0,Nebraska,NEB,Nebraska Cornhuskers,/player/Brice-Williams-46059327,https://247sports.com/player/brice-williams-46059327/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2019,46047615,Maxime,Demeus,Maxime Demeus,PG,6-0,-,,,,,,Boynton Beach,FL,,,,,,,,,,,9326,,Boca Raton,,Boca Raton,/player/Maxime-Demeus-46047615,https://247sports.com/player/maxime-demeus-46047615/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2019,46047600,Jordan,Mason,Jordan Mason,SG,6-3,180,,,,,,Brookline,MA,,,,,,,,,,,2608,,Dexter Southfield,,Dexter Southfield,/player/Jordan-Mason-46047600,https://247sports.com/player/jordan-mason-46047600/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2019,46047429,D'Marcus,Purcell,D'Marcus Purcell,SG,6-1,160,,,,,,Crestview,FL,,,,,,,,,,,9279,,Crestview,,Crestview,/player/D'Marcus-Purcell-46047429,https://247sports.com/player/d-marcus-purcell-46047429/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2019,46047277,Jack,Forrest,Jack Forrest,SG,6-4,175,,,,,,Ardmore,PA,24164.0,539.0,Columbia,COL,Columbia Lions,,,,,,19447,,Lower Merion,,Lower Merion,/player/Jack-Forrest-46047277,https://247sports.com/player/jack-forrest-46047277/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2019,91801,Wayne,Collins,Wayne Collins,PG,5-3,115,,,,,,Riverdale,GA,,,,,,,,,,,25729,,New Faith Christian Academy,,New Faith Christian Academy,/player/Wayne-Collins-91801,https://247sports.com/player/wayne-collins-91801/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
