year,player_key,first_name,last_name,full_name,position,height,weight,stars,rating,national_rank,position_rank,state_rank,hometown_city,hometown_state,committed_institution_key,committed_team_key,committed_school,committed_school_abbr,committed_school_full,signed_institution_key,signed_team_key,signed_school,signed_school_abbr,signed_school_full,current_institution_key,current_team_key,current_school,current_school_abbr,current_school_full,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,has_scouting_report,scouting_report,source
2023,46099301,Jeremy,Fears Jr.,Jeremy Fears Jr.,PG,6-0,196,5.0,98.83775906300788,32.0,7.0,1.0,Joliet,IL,24043.0,74.0,Michigan State,MIST,Michigan State Spartans,24043.0,74.0,Michigan State,MIST,Michigan State Spartans,24043,74.0,Michigan State,MIST,Michigan State Spartans,/player/Jeremy-Fears Jr.-46099301,https://247sports.com/player/jeremy-fears-jr-46099301/,200,api_profile_url,True,"Fears is a true point guard who has natural charisma and leadership skills. He knows how to run a team, has good floor vision and playmaking instincts, particularly in the open court and when playing pick-and-roll. He’s very smart with a lot of tricks up his sleeve, although there are times when he doesn’t always value the ball as much as he showed with USA Basketball. His size and measurables aren’t overwhelming, but he’s starting to build up his body, show more vertical leaping ability when he can elevate off of two feet, and play with more pace in the open floor. He has a playmaking instinct defensively, but again, has times where he can be too risky gambling for steals, rather than sitting down and getting stops. His biggest swing skill is his shooting. He’s a consistent threat with his pull-up, but can jerk his release from behind the three-point line. Overall, Fears was at his best, and most efficient version of himself, with USA Basketball, which should be a good indication of what we’ll likely see at Michigan State. More Evaluations Evaluated 09/26/2021 Jerry Meyer Director of Basketball Scouting Read",247sports_api_recruits_plus_profile_jsonld
2023,46135360,Rueben,Chinyelu,Rueben Chinyelu,C,6-9.25,259,4.0,95.46184738955823,112.0,16.0,6.0,South Africa,SOUT,24095.0,163.0,Washington State,WSU,Washington State Cougars,24095.0,163.0,Washington State,WSU,Washington State Cougars,24099,171.0,Florida,UF,Florida Gators,/player/Rueben-Chinyelu-46135360,https://247sports.com/player/rueben-chinyelu-46135360/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2023,46135633,Cameron,Carr,Cameron Carr,SG,6-4.5,184,5.0,97.76949492507377,60.0,8.0,3.0,Branson,MO,24106.0,185.0,Tennessee,TENN,Tennessee Volunteers,24106.0,185.0,Tennessee,TENN,Tennessee Volunteers,24019,26.0,Baylor,BAY,Baylor Bears,/player/Cameron-Carr-46135633,https://247sports.com/player/cameron-carr-46135633/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2023,46114389,Sebastian,Mack,Sebastian Mack,SG,6-3,195,3.0,86.0,399.0,84.0,3.0,Henderson,NV,24093.0,159.0,UCLA,UCLA,UCLA Bruins,24093.0,159.0,UCLA,UCLA,UCLA Bruins,24024,36.0,Missouri,MIZZ,Missouri Tigers,/player/Sebastian-Mack-46114389,https://247sports.com/player/sebastian-mack-46114389/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2023,46166211,Jonas,Sirtautas,Jonas Sirtautas,PF,6-10,205,,,,,,Lithuania,LITH,,,,,,,,,,,24382,540.0,Loyola Maryland,LUM,Loyola Maryland Greyhounds,/player/Jonas-Sirtautas-46166211,https://247sports.com/player/jonas-sirtautas-46166211/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2023,46109827,Jervon,Ford,Jervon Ford,PG,6-4,156,,,,,,St. Louis,MO,,,,,,,,,,,3071,,Christian Brothers College,,Christian Brothers College,/player/Jervon-Ford-46109827,https://247sports.com/player/jervon-ford-46109827/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2023,46103076,Diana,Collins,Diana Collins,PG,5-10,-,,,,,,Snellville,GA,,,,,,,,,,,9684,,Brookwood,,Brookwood,/player/Diana-Collins-46103076,https://247sports.com/player/diana-collins-46103076/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2023,46102616,Blaise,Porter,Blaise Porter,PG,6-0,165,,,,,,New London,IA,,,,,,,,,,,11287,,New London Jr-sr,,New London Jr-sr,/player/Blaise-Porter-46102616,https://247sports.com/player/blaise-porter-46102616/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2023,46102311,Dallas,Bear,Dallas Bear,SF,6-7,-,,,,,,Cedar Falls,IA,,,,,,,,,,,11120,,Cedar Falls,,Cedar Falls,/player/Dallas-Bear-46102311,https://247sports.com/player/dallas-bear-46102311/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2023,46099917,Elijah,Vos,Elijah Vos,SG,6-5,175,,,,,,Des Moines,IA,,,,,,,,,,,11165,,Hoover,,Hoover,/player/Elijah-Vos-46099917,https://247sports.com/player/elijah-vos-46099917/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
